0, -925, 887, -217.14, 57.26, , -141.25, 0, 20.75, 0x1F, -144, !@#, -552, 451, 47, 246, -201, 195, 189.64, -426
-787, .5, -464, 2e3, 410.57, 851, 881, 145.24, -620.26, 0x1F, 0, 520.76, -979, 56.03, -217.84, 11.81, !@#, -644, -179.99, -26
5., 737.66, -31, -319, 0, 563.04, 2.26, 0, 0, 0, -368, 12ab, 0, 0, -933, 92, 957, -748, 678.83, -508.77
435.79, 0, 184, 284, -449.56, 772, -492, -136.19, -370, 564.59, -786.69, -445, 2e3, a5, 0, -282.79, -144.86, 0, -186, -519.53
4a, 0, 277, 0, -994.56, 345, 828, 0, 12ab, -188.13, 984, 243.86, 791, 0, 5., , -504.81, -417, 0, 695
0, 740.66, --5, 531, 378.42, 81, 856.13, 0, -427.16, 0, 740.54, -503, 90.00, 273, 947.99, 615, 736.62, 0, -76, 358.82
-717, 13.24, -921.45, 517.76, -418, -581, -297, 4a, 769, 587.54, -298.91, -594.18, -315, 0, -216.29, -88.34, 758.34, 314, -961.72, -956
864, 331, 129.01, -71.81, xyz, Infinity, 749.37, -697.88, 0, -13, -580.11, test, -467, 你好, -619, xyz, 763.19, 43, -274, ab34
-753, 0, abc, -967.70, 948, 175.15, -710, -184, -834, 0, -756, 0, 160.12, ab34, -93, 125, -210.88, 90.86, 343, 5.
771, 0, -239.31, -940, 603.94, 134, 658, , 311, 698, Infinity, 715, -780, -171.79, -352, , -461.05, 758, -764.38, 40.32
-318.55, 771, 0, 311.45, 0, 132, 351.61, 559.72, -757, -362, !@#, 0, 0, 0, 814.26, -936.34, -376.97, -975, 0, -475
-205.10, 866.00, 0, 399, -770.53, -970, 526, 288, -816, 924, .5, 727, 680.50, 168.78, -256, ab34, 0, -442.58, 105.64, 74
-690, -973, -136.71, 888, 577, 0, 499.91, 763, 278, 0, -345.11, 0, 887, 0, -750.90, -583, -502, -874.52, 0, 271.97
12ab, 0, --5, -257.40, 885, -598.35, 0, 139, 0, 387.33, 339, abc, 107.73, 0, -782, 0, 323, -881.75, 818, 0
-205, 546, abc, 890.81, -896.32, -708.14, -996.97, 0, 4a, -426, 12ab, 815, abc, 225, ab34, -545.81, 0, 0, 743.47, a5
311, 0, 1.2.3, 590, -551, a5, 0, 4a, , abc, 581, -212.48, 243.14, -355, --5, abc, 390, 87.69, 120, 443
653, 242.97, 177, 795.93, 0, 0, 160.57, 103.20, -407, 912.64, 0, -476.57, 74, 426, 0, 788.84, 879.31, -822, 668, 983
-728.55, -508, -646.41, a5, -644, -82, 984, -606, -753, 728, 539.70, 0, 780.40, -190, 0, NaN, 0, , 773.66, 468.97
82, 836, -662.08, -305, 55, 0, .5, test, -77.90, 0, 319.56, , -66, -404, -558, abc, 517.57, 421.98, 5., 727
-134.64, -787.09, 535, -154, -488.92, -18.47, -23.10, 657, abc, 542, 428, --5, -14, --5, 0, 792.49, 322.35, 0, 115, 0
1.2.3, -851, 160.08, 0, test, 337, a5, 0, -85, 0, 82, 599, 803, abc, -885.77, 0, 4a, 630.38, -583, -261
764, -570.64, 0, -268.04, 654.65, -190, NaN, 824, 你好, -85, 248, 179.48, -850.29, -626.08, 887.89, -399.06, a5, -556.11, 你好, -355
0, 0, -479.46, 852, 199.57, -589, -786.21, -210.68, --5, -407, 162.23, -674, -537, -430.45, -81, 24.14, -649, -16, 151.93, 0
853, 958, 997.90, -807, 0, -631.14, -171.63, 120.34, 65.24, 2e3, 250.55, 817.24, NaN, -148, 4a, 179.09, -674.89, 30.15, -591.41, 734
76, 5., -271, 0, 0, -531.63, -276.77, -836.87, test, -670, 531, 190, 0, 0, 0, -925, Infinity, 5., 719, -12.45
-448.86, 0, 804, 12ab, 0, 974, 910.71, 58.24, 0, 536, 532.33, -558.36, 1, 0, !@#, -542, -366.50, 0, -440, -861.26
55.84, ab34, -644.60, -683.97, 0, test, 947.68, , 920.44, -630.70, 858.65, 648, -728, .5, -671, -229.59, 494.06, 480, -567, 527
561, -278, -691, 0, 351, --5, 519, -684, 12ab, -507, -767, 0x1F, 982, -397, -292.42, -546, 319, -776.23, 210, 0
-417, !@#, 0, NaN, -368, 891.32, 0, -173.06, 990.40, -936, 716.87, 0, -872.85, 733, -202.74, 311, -993.79, 670, 0, xyz
0, 0, -805, -752, --5, 0, -757, -501.27, 0x1F, 0, 984, -744, 910.45, Infinity, .5, -104.39, 328, 839, 905, -720
NaN, -238, 428.60, -568, 994.00, -194, 5., 984, 0, 968.68, 734.82, 919.09, 0, 0, 391.40, -685, 370.67, 44.52, 275.73, NaN
0, 1.2.3, -366, 625.66, NaN, 571, , 471, Infinity, -236, 0, test, -372.34, -483.61, -811, -540, 0, -605.75, -934, 772
-621.37, 4a, 320, 0, -571, -722.78, 300.11, -798.00, 2e3, 592.40, 0, 你好, -64.72, -34, 0, 457.49, -677, -421.34, -866.16, 0
5., 12ab, test, 821.04, 0, Infinity, 83, 0, test, test, 177, 564, -937, 972, 652, 0, --5, 0, -534, test
-478, 0, 61.67, 442, -918, 306.76, 2, --5, -377.04, 380, 0, -117, 130, -874.99, 1.2.3, 955, , 0, -956, -979
